X,Y,Z
-2002185.0,2765295.0,32767.0
-2002155.0,2765295.0,32767.0
-2002125.0,2765295.0,32767.0
-2002095.0,2765295.0,32767.0
-2002065.0,2765295.0,32767.0
-2002035.0,2765295.0,32767.0
-2002005.0,2765295.0,32767.0
-2001975.0,2765295.0,32767.0
-2001945.0,2765295.0,32767.0
-2001915.0,2765295.0,32767.0
-2001885.0,2765295.0,32767.0
-2001855.0,2765295.0,32767.0
-2001825.0,2765295.0,32767.0
-2001795.0,2765295.0,32767.0
-2001765.0,2765295.0,32767.0
-2001735.0,2765295.0,32767.0
-2001705.0,2765295.0,32767.0
-2001675.0,2765295.0,32767.0
-2001645.0,2765295.0,32767.0
-2001615.0,2765295.0,32767.0
-2001585.0,2765295.0,32767.0
-2001555.0,2765295.0,32767.0
-2001525.0,2765295.0,32767.0
-2001495.0,2765295.0,32767.0
-2001465.0,2765295.0,32767.0
-2001435.0,2765295.0,32767.0
-2001405.0,2765295.0,32767.0
-2001375.0,2765295.0,32767.0
-2001345.0,2765295.0,32767.0
-2001315.0,2765295.0,32767.0
-2001285.0,2765295.0,32767.0
-2001255.0,2765295.0,32767.0
-2001225.0,2765295.0,32767.0
-2001195.0,2765295.0,32767.0
-2001165.0,2765295.0,32767.0
-2001135.0,2765295.0,32767.0
-2001105.0,2765295.0,32767.0
-2001075.0,2765295.0,32767.0
-2001045.0,2765295.0,32767.0
-2001015.0,2765295.0,32767.0
-2000985.0,2765295.0,32767.0
-2000955.0,2765295.0,32767.0
-2000925.0,2765295.0,32767.0
-2000895.0,2765295.0,32767.0
-2000865.0,2765295.0,32767.0
-2000835.0,2765295.0,32767.0
-2000805.0,2765295.0,32767.0
-2000775.0,2765295.0,32767.0
-2000745.0,2765295.0,32767.0
-2000715.0,2765295.0,32767.0
-2010435.0,2765265.0,32767.0
-2010405.0,2765265.0,32767.0
-2010375.0,2765265.0,32767.0
-2010345.0,2765265.0,32767.0
-2010315.0,2765265.0,32767.0
-2010285.0,2765265.0,32767.0
-2010255.0,2765265.0,32767.0
-2010225.0,2765265.0,32767.0
-2010195.0,2765265.0,32767.0
-2010165.0,2765265.0,32767.0
-2010135.0,2765265.0,32767.0
-2010105.0,2765265.0,32767.0
-2010075.0,2765265.0,32767.0
-2010045.0,2765265.0,32767.0
-2010015.0,2765265.0,32767.0
-2009985.0,2765265.0,32767.0
-2009955.0,2765265.0,32767.0
-2009925.0,2765265.0,32767.0
-2009895.0,2765265.0,32767.0
-2009865.0,2765265.0,32767.0
-2009835.0,2765265.0,32767.0
-2009805.0,2765265.0,32767.0
-2009775.0,2765265.0,32767.0
-2009745.0,2765265.0,32767.0
-2009715.0,2765265.0,32767.0
-2009685.0,2765265.0,32767.0
-2009655.0,2765265.0,32767.0
-2009625.0,2765265.0,32767.0
-2009595.0,2765265.0,32767.0
-2009565.0,2765265.0,32767.0
-2009535.0,2765265.0,32767.0
-2009505.0,2765265.0,32767.0
-2009475.0,2765265.0,32767.0
-2009445.0,2765265.0,32767.0
-2009415.0,2765265.0,32767.0
-2009385.0,2765265.0,32767.0
-2009355.0,2765265.0,32767.0
-2009325.0,2765265.0,32767.0
-2009295.0,2765265.0,32767.0
-2009265.0,2765265.0,32767.0
-2009235.0,2765265.0,32767.0
